name;price;expiration
Rubber Soap for Aperture #(26307594);$929.01;11/28/2021
Incredible Fresh Computer #(12561429);$696.87;5/18/2022
Silver Ergonomic Chips #(52015619);$452.06;8/6/2023
Bronze Soap for BlackMesa #(81789098);$79.91;8/4/2024
Globex Salad Recycled #(26208096);$664.51;10/26/2022
Weyland Ball with WiFi #(12136327);$617.55;6/23/2025
Handcrafted Fresh Soap #(90974228);$827.65;4/20/2025
Plastic Tuna for Initech #(55599531);$783.71;12/12/2024
Unbranded Rubber Salad #(77718881);$465.03;6/21/2025
Orange Generic Soap #(15296853);$35.52;7/18/2025
Wonka Unbranded Violet Keyboard #(68523561);$573.81;12/10/2025
Gorgeous Plastic Chair #(90620270);$312.27;9/1/2024
Bronze Fantastic Computer #(61914318);$787.69;5/20/2022
Soylent Fish Recycled #(18733898);$689.12;4/28/2026
Yoyodyne Generic Lime Cheese #(48774841);$687.37;11/25/2024
Grey Generic Pizza #(37704557);$267.08;1/17/2025
Bronze Generic Gloves #(49366968);$647.09;2/12/2020
Wooden Computer for Aperture #(78042734);$583.88;5/25/2020
Lime Tasty Computer #(72223355);$596.70;3/20/2025
Tyrell Chair with WiFi #(27680061);$815.15;3/23/2025
Sleek Rubber Chicken #(60714697);$192.93;11/22/2025
Glass Cheese for Acme #(27492342);$458.08;8/17/2021
Grey Handcrafted Bike #(40386401);$943.96;10/5/2022
Fresh Pants for Tyrell #(52609836);$180.72;8/14/2024
Hooli Luxury Lime Computer #(43497429);$747.59;3/5/2025
Large Metal Shirt #(69594753);$206.99;7/25/2025
Umbrella Chair Portable #(12926939);$625.99;11/21/2022
Gold Durable Soap #(94148137);$296.79;8/31/2022
Frozen Hat for Nook #(33679344);$432.61;1/23/2022
Leather Hat for Weyland #(24553007);$477.69;10/26/2025
Ceramic Mouse for Soylent #(34549672);$340.02;12/5/2022
Linen Pants for Massive #(51301805);$148.55;12/29/2022
MomCorp Generic Violet Chair #(96041011);$315.79;7/17/2023
Lime Budget Tuna #(21205287);$618.55;7/7/2023
Awesome Cotton Table #(30529900);$986.93;11/25/2023
Green Rustic Gloves #(61493840);$806.87;11/8/2026
Aperture Generic Bronze Table #(20324013);$367.03;5/22/2026
Soft Soap for Umbrella #(65783383);$511.07;2/5/2021
Umbrella Soap Eco-friendly #(24769596);$171.76;10/24/2026
Metal Bacon for Stark #(35425847);$506.38;10/29/2024
Tyrell Soap Fireproof #(55278898);$879.66;1/6/2023
Velvet Bike for Weyland #(61269432);$96.75;3/20/2021
Budget Plastic Pizza #(32157072);$844.48;10/18/2026
Unbranded Ceramic Shirt #(99482081);$361.75;2/5/2021
Plastic Bike for Aperture #(74352074);$312.31;6/19/2025
Luxury Granite Fish #(13414547);$319.25;7/6/2023
Generic Metal Pizza #(89167957);$356.25;2/15/2021
Indigo Handcrafted Car #(14794561);$983.32;1/2/2021
Orange Generic Sausages #(18479618);$300.00;10/21/2021
Soylent Sleek Indigo Shirt #(84573426);$416.15;9/2/2020
Wayne Tuna Waterproof #(33129456);$726.58;2/28/2022
Metal Chips for Wayne #(85515679);$159.09;6/3/2025
Dharma Fish Battery Powered #(61443987);$367.18;11/13/2023
Umbrella Refined Purple Pants #(87629295);$22.06;1/11/2026
Tyrell Practical Turquoise Shirt #(24437073);$864.19;12/30/2026
Yoyodyne Licensed Green Chair #(86371041);$191.75;7/1/2026
Turquoise Durable Ball #(35358483);$834.34;4/22/2022
Steel Shoe for Cyberdyne #(86550019);$518.96;12/2/2025
Dharma Sausages Automatic #(82507911);$382.86;11/2/2025
Linen Chips for Stark #(13533915);$768.43;7/24/2020
Wool Shirt for Umbrella #(48104492);$922.74;7/14/2025
Umbrella Keyboard Eco-friendly #(90246084);$818.68;8/15/2020
Glass Ball for Cyberdyne #(20093045);$214.37;5/18/2023
White Incredible Car #(80306308);$647.61;2/9/2023
Wayne Budget Turquoise Sausages #(21693101);$853.01;2/24/2021
Dharma Large Bronze Salad #(37888334);$587.78;11/28/2020
Wayne Small Turquoise Cheese #(87151764);$750.69;12/29/2020
Gorgeous Linen Computer #(79198926);$608.12;6/30/2021
Small Leather Gloves #(57243521);$738.33;4/8/2022
Refined Linen Shirt #(16173144);$593.75;6/27/2020
Massive Gloves 2025 Model #(54012997);$932.32;7/4/2023
Acme Luxury Lime Pizza #(34869639);$648.66;10/22/2020
MomCorp Bike Recycled #(51141617);$26.84;3/13/2026
Wonka Durable Purple Chair #(85340278);$721.06;4/3/2022
Refined Wool Chair #(89980665);$777.83;5/6/2023
Acme Awesome Orange Cheese #(29575821);$928.78;12/5/2025
Indigo Budget Chair #(22626164);$800.39;11/17/2026
Stark Large Green Shirt #(38169118);$910.98;4/18/2024
BlackMesa Refined Indigo Tuna #(85757222);$152.22;8/15/2024
Ceramic Fish for Hooli #(97626333);$626.84;12/3/2021
MomCorp Incredible Violet Sausages #(96197128);$994.72;3/4/2020
Soft Bacon for Wayne #(81885982);$305.36;9/11/2021
Rustic Steel Ball #(30897498);$816.50;1/15/2025
Unbranded Plastic Table #(96407703);$302.76;12/28/2023
Yoyodyne Handcrafted Violet Hat #(60654519);$127.70;2/19/2021
Ergonomic Fresh Salad #(18671610);$287.26;2/9/2021
Gold Generic Ball #(51922114);$0.40;3/21/2026
Globex Shirt Manual #(45666707);$853.71;7/5/2023
Yoyodyne Fish 2025 Model #(70970448);$589.65;12/8/2025
Generic Soft Computer #(64978600);$636.63;1/2/2025
BlackMesa Intelligent Purple Towels #(74117338);$441.34;9/30/2024
Hooli Gorgeous Bronze Pizza #(28480111);$716.54;12/16/2023
Wayne Soap Battery Powered #(41774024);$966.89;4/25/2021
Metal Towels for Umbrella #(88984846);$462.41;2/2/2024
Nook Computer Collector Item #(50469617);$825.97;6/6/2021
Wonka Budget Silver Computer #(94521386);$312.88;4/4/2022
Sleek Steel Pizza #(98562259);$760.60;3/5/2024
Vandelay Tuna Heavy Duty #(88665179);$24.52;4/28/2021
Aperture Gloves Compact #(24011451);$693.48;11/3/2021
Luxury Ceramic Pizza #(34613370);$842.49;5/29/2020
White Durable Shoe #(11788491);$222.60;11/24/2022
Silver Handcrafted Chicken #(96717349);$803.91;9/6/2023
Intelligent Wooden Chicken #(39400925);$344.34;4/25/2020
Silver Ergonomic Bacon #(84655998);$395.11;11/8/2022
Pink Tasty Ball #(98979891);$82.14;7/16/2024
Wayne Budget Violet Chair #(90260208);$372.74;8/22/2025
Vandelay Fish with WiFi #(91681560);$863.55;4/14/2021
Globex Chair Collector Item #(69700645);$472.56;11/5/2023
Soylent Hat Eco-friendly #(80534364);$161.34;3/11/2025
Massive Table Portable #(77951685);$381.74;1/22/2022
Durable Concrete Gloves #(98276816);$602.64;4/5/2026
Silk Gloves for Yoyodyne #(21952414);$942.61;7/4/2021
Rubber Shoe for Globex #(28101202);$110.82;1/4/2025
Metal Pants for Wonka #(95894110);$670.64;12/23/2024
Luxury Bronze Chips #(15383322);$93.43;10/15/2021
Soft Computer for Nook #(51533197);$682.56;2/8/2026
Cyberdyne Gorgeous Orange Computer #(47506914);$161.91;11/5/2024
Silver Incredible Mouse #(71627847);$192.64;3/19/2024
Stark Table with WiFi #(24600489);$262.63;4/27/2026
Handcrafted Steel Ball #(43408652);$838.73;7/3/2024
Plastic Salad for Umbrella #(49276365);$211.77;1/18/2024
Umbrella Computer Lightweight #(14176096);$416.54;11/28/2021
Soft Soap for Nook #(21235799);$833.48;6/3/2021
Wooden Chicken for Wayne #(23618964);$464.41;2/17/2023
Initech Budget White Shoe #(71845170);$641.65;4/14/2026
Acme Shoe Fireproof #(76497547);$262.25;5/30/2025
Umbrella Awesome Yellow Computer #(92601274);$696.58;7/8/2025
Cotton Chips for Initech #(94058633);$985.45;6/10/2022
Wonka Car Vintage Edition #(65737024);$80.64;10/21/2026
Granite Towels for Yoyodyne #(83455625);$836.85;12/27/2020
Plastic Gloves for Wonka #(65237017);$813.51;2/27/2020
MomCorp Large Silver Chicken #(89695563);$530.43;2/24/2020
MomCorp Sleek Orange Pants #(62686647);$421.69;9/2/2021
Intelligent Cotton Gloves #(20788471);$367.76;9/24/2026
Leather Chips for Weyland #(43268838);$762.28;6/1/2025
Rustic Ceramic Mouse #(98290673);$612.28;9/10/2026
Massive Keyboard Automatic #(62383751);$0.69;12/14/2026
Initech Tasty Violet Towels #(14693039);$833.84;10/2/2021
Cyberdyne Gorgeous Gold Chips #(70282238);$688.60;2/26/2024
Blue Licensed Salad #(98587470);$596.71;1/25/2021
Cyberdyne Fish Lightweight #(62658664);$354.69;9/24/2026
Budget Wool Shoe #(17979902);$825.40;3/10/2026
Yoyodyne Refined Blue Soap #(33898617);$948.00;1/21/2026
Grey Practical Bike #(14432322);$96.78;1/29/2024
Umbrella Generic Purple Pizza #(60591444);$599.49;6/10/2020
Ergonomic Granite Sausages #(45661373);$314.57;5/22/2026
Tasty Wool Computer #(10287829);$208.69;11/4/2021
Bronze Shoe for Acme #(97488138);$402.59;4/11/2020
Glass Computer for Hooli #(20681946);$190.38;12/27/2020
Teal Intelligent Bacon #(17857644);$319.41;2/21/2026
Fantastic Linen Soap #(17131395);$619.83;7/4/2025
Hooli Budget Violet Table #(14219693);$411.68;11/3/2025
Wonka Durable Red Soap #(83774473);$278.66;4/16/2024
Aperture Awesome Purple Mouse #(98874544);$766.97;7/5/2023
MomCorp Rustic Purple Table #(97997191);$218.30;11/5/2024
Fresh Chicken for Cyberdyne #(26590340);$289.61;11/19/2026
Leather Bacon for Stark #(14294190);$774.09;10/14/2025
Yoyodyne Refined Lime Chicken #(62242240);$698.06;3/1/2022
Teal Durable Chicken #(22397164);$725.12;11/1/2024
Silk Soap for Vandelay #(99880722);$683.22;11/6/2023
Gorgeous Rubber Car #(34565398);$466.52;8/4/2023
Frozen Shirt for MomCorp #(89402263);$579.48;11/25/2024
Initech Sausages Eco-friendly #(83393765);$287.05;9/25/2025
Cyberdyne Ball Lightweight #(69475773);$218.07;9/26/2023
Dharma Budget Indigo Chips #(71219401);$502.37;4/25/2026
Yellow Ergonomic Fish #(51000975);$451.69;4/11/2023
Concrete Bacon for MomCorp #(64105335);$930.21;8/10/2023
Refined Rubber Computer #(80916591);$520.39;5/22/2022
Soft Pants for Nook #(37717356);$615.07;2/16/2026
Gorgeous Soft Gloves #(19199410);$299.15;5/18/2023
Teal Sleek Keyboard #(33819496);$990.69;7/17/2022
Wool Ball for Hooli #(20979989);$665.44;8/5/2023
Plastic Shirt for Tyrell #(88040150);$509.07;5/31/2020
Luxury Wooden Pants #(83961629);$23.89;12/30/2020
Glass Shoe for BlackMesa #(10423603);$602.89;4/15/2025
Stark Table Eco-friendly #(20034106);$11.07;6/8/2022
Leather Soap for Initech #(27716943);$797.73;12/17/2022
Licensed Metal Chips #(20793569);$394.32;5/23/2025
Ergonomic Velvet Shirt #(65294245);$627.72;6/5/2022
Refined Metal Soap #(56892228);$393.70;10/11/2020
Awesome Velvet Computer #(43682873);$163.86;12/20/2024
Stark Awesome Black Bike #(34813202);$667.24;11/5/2026
Ergonomic Frozen Chips #(74814388);$846.50;1/18/2026
Bronze Refined Pants #(78081955);$972.04;12/2/2026
Initech Tuna Compact #(63643296);$837.75;1/22/2020
Bronze Tuna for Massive #(41713827);$947.85;7/25/2020
Soft Chicken for Aperture #(68260493);$143.61;1/11/2026
Dharma Chicken Collector Item #(17944652);$702.56;7/14/2020
Velvet Sausages for MomCorp #(16800903);$411.52;3/31/2021
Silver Ergonomic Chair #(35877494);$154.05;10/15/2022
Fresh Pants for Tyrell #(27441931);$124.02;4/26/2024
Rustic Frozen Fish #(74032510);$160.06;8/17/2021
Copper Computer for Weyland #(52350398);$225.16;6/14/2025
Plastic Soap for Acme #(25682819);$347.78;9/28/2023
Globex Ball Compact #(66096868);$524.44;6/13/2025
Soylent Cheese Waterproof #(54892931);$502.36;11/18/2021
Soft Bacon for Yoyodyne #(19240532);$449.06;12/28/2022
Intelligent Linen Shirt #(38095137);$558.45;3/28/2022
White Awesome Salad #(68846861);$318.22;10/27/2023
Hooli Intelligent Orange Salad #(66191828);$200.90;6/22/2021
Umbrella Pizza with WiFi #(47919790);$344.23;11/6/2024
Refined Plastic Gloves #(86340032);$91.51;1/12/2020
Steel Shirt for Wayne #(94661640);$200.90;3/17/2023
Luxury Ceramic Bacon #(86149491);$798.88;5/2/2020
Fresh Chicken for Tyrell #(78812993);$989.04;9/14/2024
Nook Durable Violet Fish #(80017209);$382.58;10/27/2026
Hooli Computer Automatic #(63671553);$102.11;5/7/2022
Massive Awesome Grey Soap #(61164124);$860.86;6/16/2022
Stark Rustic Teal Shirt #(82232944);$81.08;11/2/2020
Sleek Glass Chicken #(82067831);$822.22;4/10/2021
Wonka Durable Pink Bike #(35888382);$684.77;7/16/2024
Wayne Chicken Eco-friendly #(41857895);$297.17;3/25/2025
Luxury Cotton Chair #(16230408);$764.98;6/10/2021
Fantastic Glass Car #(84694983);$934.17;3/13/2026
Teal Durable Car #(55523089);$491.08;11/30/2024
MomCorp Handcrafted Turquoise Hat #(61008546);$297.84;9/1/2021
MomCorp Pizza with WiFi #(18323643);$5.33;12/6/2026
Hooli Tuna with WiFi #(50629393);$338.62;6/8/2025
Yoyodyne Tasty Blue Soap #(27648611);$512.08;7/10/2021
Luxury Wooden Table #(31836478);$8.16;5/29/2022
Pink Generic Pants #(57242880);$599.37;10/28/2021
Initech Tuna Limited Edition #(86345276);$760.23;10/26/2022
Silk Hat for Globex #(52716014);$339.02;3/28/2025
Wonka Handcrafted Purple Salad #(85955376);$963.13;10/13/2021
Rubber Computer for Nook #(60763407);$999.23;2/13/2023
Silk Fish for Stark #(57161990);$957.25;4/23/2024
Ergonomic Velvet Bike #(69920714);$758.48;2/17/2025
Green Ergonomic Hat #(24050712);$234.30;2/23/2024
Violet Small Chair #(30150008);$210.86;5/10/2023
Red Ergonomic Hat #(21596341);$556.58;7/1/2022
Frozen Chicken for Acme #(26477513);$507.47;9/18/2024
Wool Towels for Hooli #(49378975);$307.42;9/7/2023
Turquoise Licensed Bacon #(56703403);$111.81;6/18/2023
Globex Bacon Manual #(93662363);$902.72;1/26/2020
Tyrell Refined Purple Keyboard #(26838921);$734.18;11/10/2025
Dharma Towels Battery Powered #(57940495);$841.93;9/19/2025
Tyrell Large Green Hat #(49859085);$408.37;9/29/2026
Small Wooden Towels #(25505160);$66.32;5/27/2020
Cyberdyne Tasty Turquoise Gloves #(36376111);$628.61;8/1/2021
Intelligent Granite Pizza #(26719717);$236.71;11/10/2024
Handcrafted Fresh Shirt #(77844920);$135.42;1/7/2025
Wonka Pants Vintage Edition #(75393911);$747.77;10/6/2024
Practical Velvet Soap #(33124111);$773.96;7/2/2025
Tyrell Soap Heavy Duty #(21629840);$621.42;8/3/2020
Intelligent Silk Keyboard #(95126688);$344.04;2/20/2022
Weyland Large Violet Towels #(50755623);$332.11;6/22/2023
Teal Durable Chips #(18087182);$781.73;12/29/2020
Frozen Ball for Dharma #(98272015);$562.72;2/20/2022
Yoyodyne Rustic Bronze Bacon #(41568753);$58.03;11/9/2025
Budget Linen Tuna #(73965873);$819.01;11/29/2025
Dharma Computer Lightweight #(96118302);$866.17;3/20/2025
Durable Velvet Sausages #(95043308);$908.21;9/25/2025
Rubber Shirt for Hooli #(62481471);$380.74;12/3/2024
Grey Practical Fish #(39273732);$472.82;7/9/2023
Grey Budget Gloves #(24452681);$947.59;5/27/2026
Silk Salad for Vandelay #(98976433);$250.83;8/8/2025
Red Large Ball #(33977732);$716.98;4/29/2024
Luxury Ceramic Salad #(26255217);$225.47;10/25/2026
MomCorp Towels Portable #(40526353);$918.12;7/30/2022
Wonka Fantastic Blue Salad #(62676979);$257.22;7/15/2020
Massive Generic Turquoise Soap #(96824690);$697.23;11/27/2025
Tasty Glass Towels #(50629063);$405.72;5/29/2020
Turquoise Sleek Shirt #(95511859);$14.48;9/16/2021
Fresh Chicken for Globex #(90827588);$54.92;1/15/2025
Bronze Mouse for Weyland #(36902016);$10.28;1/16/2020
Initech Bacon Recycled #(57839804);$143.34;3/15/2022
Silk Shirt for Hooli #(35096436);$215.44;4/24/2022
Aperture Hat Compact #(37755269);$372.60;6/21/2020
Incredible Steel Computer #(81524266);$41.85;9/29/2025
Dharma Fish Automatic #(59974629);$728.48;11/29/2023
Teal Practical Chicken #(83408757);$208.59;9/4/2025
Pink Sleek Bacon #(31194353);$568.22;5/29/2020
Fantastic Cotton Computer #(52338752);$637.99;5/2/2021
Durable Linen Soap #(29424054);$423.47;8/3/2021
Cotton Gloves for Soylent #(68700358);$881.16;8/7/2023
Rustic Concrete Soap #(28581535);$104.31;6/20/2025
Soylent Tasty Bronze Pants #(53667034);$62.56;1/13/2021
Yoyodyne Soap Automatic #(56288052);$98.00;10/20/2026
BlackMesa Incredible Blue Computer #(50554835);$211.83;12/31/2025
Ergonomic Frozen Fish #(49656989);$481.14;1/30/2026
Aperture Chair Vintage Edition #(71098919);$644.92;7/8/2023
Glass Soap for Stark #(48499664);$672.86;3/17/2020
Nook Pizza Manual #(85446819);$143.70;6/6/2021
Budget Ceramic Tuna #(33768043);$357.52;5/13/2020
Unbranded Concrete Towels #(31550858);$194.90;12/4/2023
MomCorp Sleek Bronze Pants #(63724479);$32.87;2/14/2023
Budget Copper Computer #(29447359);$765.67;10/29/2020
Wonka Chicken Lightweight #(13375236);$929.13;1/3/2023
Budget Concrete Chair #(20927182);$188.38;11/25/2020
Massive Keyboard 2025 Model #(14725598);$18.52;3/6/2020
Soylent Small Purple Chips #(17065633);$251.94;11/18/2021
Soylent Ergonomic Grey Keyboard #(80732937);$15.78;7/3/2023
Yellow Gorgeous Table #(52356406);$646.38;10/31/2020
Dharma Gorgeous Cyan Bike #(34825352);$75.55;6/6/2023
Unbranded Rubber Tuna #(77661566);$650.20;11/25/2026
Velvet Sausages for Wonka #(94632994);$615.97;9/29/2024
Weyland Chair Limited Edition #(39567498);$630.60;8/1/2021
Plastic Shirt for Weyland #(99723286);$84.86;8/11/2026
Dharma Gloves Collector Item #(60163296);$401.10;6/10/2024
Silk Sausages for Initech #(87564350);$944.70;3/21/2026
Purple Ergonomic Soap #(71536304);$532.36;10/21/2024
Cyan Generic Ball #(74860637);$459.29;9/28/2020
Concrete Computer for Weyland #(60939551);$614.24;6/27/2020
Weyland Towels Waterproof #(63432675);$756.35;6/6/2022
Black Practical Chicken #(74826978);$335.98;4/18/2023
Weyland Chips Battery Powered #(31726974);$28.38;3/3/2025
Concrete Soap for Weyland #(70560541);$846.40;11/22/2020
Green Refined Ball #(97523917);$230.75;12/26/2022
Cyan Refined Soap #(20246386);$759.07;4/30/2026
Unbranded Fresh Hat #(69655618);$13.12;9/18/2025
Granite Table for Initech #(83444667);$815.54;4/20/2020
Initech Intelligent Blue Fish #(12983965);$964.86;7/20/2022
Dharma Pants Eco-friendly #(60368196);$800.00;6/18/2026
Durable Glass Towels #(52019101);$838.69;5/23/2025
Dharma Pizza Vintage Edition #(51748229);$743.42;11/7/2022
Copper Sausages for Globex #(55071328);$849.09;2/17/2020
Granite Chair for Aperture #(44998426);$997.65;12/27/2022
Budget Bronze Towels #(87810848);$40.69;7/23/2026
Wool Chips for Globex #(19893735);$279.73;7/4/2021
Large Bronze Gloves #(77965907);$55.67;3/10/2023
Luxury Velvet Computer #(52230343);$407.38;3/30/2021
Ergonomic Granite Bike #(19781366);$226.88;10/22/2021
Yoyodyne Computer Vintage Edition #(52526786);$700.36;3/16/2024
Plastic Keyboard for Vandelay #(30567399);$218.67;5/27/2025
Wonka Gloves Portable #(85876078);$611.35;12/30/2025
Awesome Wool Fish #(12071716);$549.56;8/31/2025
Budget Concrete Chicken #(80805130);$212.76;10/11/2025
Tasty Cotton Hat #(19671974);$212.29;7/11/2023
Dharma Shirt Compact #(50614843);$264.97;7/16/2024
Wayne Generic Black Fish #(31688792);$392.59;10/3/2023
Copper Mouse for Aperture #(53506073);$7.55;9/7/2021
Silk Computer for Wayne #(41173169);$821.84;7/10/2022
