name;price;expiration
Practical Linen Computer #(68349106);$248.03;3/27/2022
Black Ergonomic Chicken #(18732218);$184.06;1/7/2026
Weyland Intelligent Pink Fish #(86487290);$787.92;5/20/2024
Glass Sausages for Massive #(60608908);$727.84;2/20/2020
Stark Bike Manual #(30227881);$41.12;8/11/2020
Pink Refined Cheese #(77156287);$882.21;9/18/2024
Yoyodyne Mouse Limited Edition #(56309973);$396.60;12/5/2026
Wayne Generic Cyan Cheese #(27370087);$179.49;10/31/2021
Globex Tasty Red Pants #(15709127);$417.30;8/13/2025
Practical Plastic Gloves #(67149201);$364.18;2/21/2021
Red Handcrafted Bike #(88911129);$481.60;11/2/2022
Massive Tasty Bronze Hat #(43990643);$320.72;4/14/2023
Cyan Rustic Fish #(71887768);$425.00;9/12/2024
Linen Shirt for Weyland #(79286312);$348.10;1/15/2026
Copper Soap for Stark #(62936883);$258.62;3/3/2021
Magenta Large Fish #(56806800);$117.60;9/24/2025
Grey Small Pants #(36808945);$540.06;3/30/2025
Nook Tuna 2025 Model #(26521881);$728.84;4/12/2021
Globex Durable Cyan Pizza #(25485905);$703.87;9/8/2025
Small Steel Fish #(98164943);$417.19;11/16/2021
Acme Salad Automatic #(70623044);$581.44;8/29/2024
Dharma Shirt Automatic #(37543520);$72.73;3/3/2021
Silver Sleek Car #(72326961);$752.36;3/28/2020
Hooli Practical Grey Fish #(84729090);$997.78;10/2/2024
Plastic Mouse for Acme #(15436463);$25.26;7/12/2025
Tyrell Large Gold Keyboard #(38687124);$435.30;3/9/2025
Globex Refined Yellow Computer #(88749045);$44.14;10/4/2021
Refined Bronze Chips #(45046434);$361.57;10/15/2026
Aperture Pizza Manual #(34949282);$682.05;11/8/2025
Massive Keyboard Waterproof #(39804020);$108.77;4/21/2025
Globex Durable Violet Mouse #(99126848);$73.85;9/2/2020
Tasty Leather Soap #(22682753);$275.52;12/16/2026
Initech Chair Automatic #(83867445);$351.15;2/10/2023
Tasty Metal Gloves #(26978813);$956.25;2/16/2025
Aperture Table Vintage Edition #(82593869);$441.01;1/13/2020
Vandelay Fish Compact #(95094988);$77.75;3/31/2022
Cyberdyne Soap Recycled #(49737896);$300.94;12/25/2020
Cyan Luxury Mouse #(86095666);$867.93;3/18/2023
Vandelay Fantastic White Shirt #(15660922);$151.13;12/26/2020
Initech Fantastic Grey Mouse #(65574091);$742.13;4/12/2023
Wonka Rustic Blue Table #(14251381);$738.82;9/29/2022
Soylent Pants Automatic #(41964488);$628.07;3/28/2025
Unbranded Bronze Chair #(21149309);$959.18;8/19/2026
Dharma Fantastic Purple Shoe #(96712338);$345.70;2/15/2021
Cotton Cheese for BlackMesa #(18461831);$40.81;12/5/2022
Weyland Practical Black Gloves #(43496630);$7.39;9/20/2022
Wonka Fish Limited Edition #(21261247);$456.17;8/26/2024
BlackMesa Tuna Heavy Duty #(48588754);$409.14;4/3/2025
Fresh Hat for BlackMesa #(29917010);$638.04;12/1/2024
Wool Soap for Weyland #(24791068);$96.86;4/5/2022
Sleek Concrete Sausages #(53982002);$167.38;2/4/2021
Acme Ball Automatic #(61140733);$93.52;11/18/2022
Silk Towels for Acme #(46779811);$449.55;8/27/2026
Hooli Soap Collector Item #(34056443);$839.25;3/13/2022
Vandelay Computer 2025 Model #(61567616);$301.78;1/21/2023
Grey Budget Cheese #(24329030);$466.47;8/10/2026
Ceramic Chips for Nook #(81603401);$263.84;6/1/2020
Velvet Table for Yoyodyne #(21418556);$561.87;2/6/2022
Cyan Handcrafted Tuna #(58041963);$173.84;10/16/2023
Red Practical Cheese #(94642073);$262.77;5/11/2025
Ergonomic Leather Computer #(81552008);$337.58;7/2/2025
Magenta Intelligent Computer #(97230637);$292.40;4/19/2024
Durable Leather Keyboard #(89724536);$876.99;3/20/2021
Initech Licensed Teal Shirt #(46781312);$186.08;2/5/2020
Granite Bacon for Stark #(47644373);$128.62;5/28/2023
Orange Incredible Bike #(56426157);$896.60;8/7/2023
Durable Concrete Computer #(37468477);$587.23;12/15/2024
Copper Shirt for Nook #(90658513);$246.12;11/4/2024
Weyland Generic Gold Soap #(16160906);$257.96;4/20/2021
Ceramic Fish for Soylent #(18891464);$838.68;5/25/2023
Plastic Soap for Weyland #(49785552);$578.48;3/6/2022
Rustic Soft Mouse #(33908539);$883.38;8/24/2024
Ceramic Soap for Aperture #(80282780);$347.54;7/11/2026
White Intelligent Hat #(85974135);$290.69;4/18/2025
Umbrella Table Fireproof #(20347116);$950.49;5/4/2024
Durable Copper Pizza #(59845482);$491.40;3/20/2026
Cotton Computer for Vandelay #(49376823);$369.00;11/27/2021
Initech Mouse Vintage Edition #(38216386);$742.36;11/30/2021
Tyrell Handcrafted Teal Chips #(62625548);$875.73;7/23/2025
Stark Luxury Gold Sausages #(18281807);$190.32;6/22/2025
Pink Durable Car #(56152626);$251.86;4/17/2022
Soft Salad for Wayne #(80739628);$310.17;7/3/2022
Concrete Chicken for Umbrella #(22471334);$947.31;3/15/2026
Frozen Car for Soylent #(12638253);$823.72;8/25/2024
Bronze Towels for Yoyodyne #(74485303);$470.62;12/31/2021
Cyan Intelligent Cheese #(29150453);$640.96;7/15/2022
Initech Bike Recycled #(31231828);$630.40;8/4/2023
Green Handcrafted Gloves #(23481199);$298.65;12/20/2020
MomCorp Refined Grey Pizza #(60388077);$724.58;7/6/2026
Rubber Table for Umbrella #(77494127);$691.58;7/4/2021
BlackMesa Computer Recycled #(14542172);$821.64;4/22/2024
Aperture Pizza Heavy Duty #(63471984);$759.37;8/27/2024
Granite Soap for Soylent #(65801067);$971.48;12/24/2025
Awesome Metal Fish #(73405173);$408.33;1/12/2026
Hooli Ergonomic Bronze Chicken #(27373313);$177.77;12/16/2020
Unbranded Silk Hat #(47755080);$886.69;1/28/2022
Linen Shoe for Aperture #(93747277);$33.56;9/20/2024
Silver Handcrafted Computer #(27584687);$11.74;11/3/2021
Indigo Ergonomic Towels #(76259522);$209.75;4/26/2021
Magenta Intelligent Computer #(20334935);$181.43;3/25/2022
Green Tasty Cheese #(33236612);$27.95;8/9/2022
Wooden Mouse for Initech #(45994925);$749.04;4/13/2020
Handcrafted Leather Car #(47323099);$899.62;8/28/2020
Plastic Car for Massive #(24004204);$331.48;3/7/2021
Blue Refined Chips #(23493113);$830.45;2/8/2025
Yoyodyne Cheese Lightweight #(60621784);$922.48;9/23/2026
Globex Shoe Lightweight #(87166604);$819.93;1/12/2024
Massive Car Automatic #(38540694);$518.96;5/30/2023
Small Copper Shoe #(64500803);$103.80;4/22/2024
Bronze Cheese for Tyrell #(78792746);$138.65;10/1/2025
Hooli Tuna Fireproof #(13955934);$601.87;3/21/2025
Yoyodyne Luxury Turquoise Soap #(41140151);$161.86;4/25/2026
Granite Shoe for Acme #(22899015);$898.32;5/8/2024
Magenta Practical Ball #(25245506);$814.80;10/17/2026
Concrete Soap for Dharma #(52076231);$476.45;7/17/2022
Rustic Granite Fish #(40962012);$296.31;2/11/2023
Stark Hat Battery Powered #(19546159);$878.44;2/23/2023
Wooden Shoe for Dharma #(35697736);$544.87;6/13/2020
Copper Chips for Yoyodyne #(35686082);$533.44;5/14/2020
Generic Linen Soap #(50273177);$853.59;11/17/2020
Sleek Rubber Keyboard #(81619205);$827.39;9/9/2026
Hooli Generic Violet Tuna #(40147721);$481.10;1/9/2026
Turquoise Budget Computer #(37988415);$446.30;10/1/2026
Acme Table 2025 Model #(58497378);$276.21;6/18/2022
MomCorp Gloves Fireproof #(70515481);$676.74;4/11/2024
Acme Shirt Lightweight #(36595979);$147.32;10/20/2022
Violet Incredible Keyboard #(27805449);$358.92;7/6/2022
Concrete Soap for Dharma #(15294631);$261.78;11/23/2026
Wooden Keyboard for MomCorp #(97365129);$253.22;9/15/2024
Initech Keyboard Battery Powered #(78835675);$527.92;9/6/2026
Copper Sausages for Wonka #(69532900);$802.74;3/22/2026
BlackMesa Handcrafted Blue Table #(12603077);$211.66;5/27/2024
Awesome Leather Shoe #(69361184);$393.54;10/27/2020
Weyland Computer Heavy Duty #(90469870);$423.93;11/19/2020
Leather Cheese for Soylent #(47558416);$67.41;1/22/2020
Durable Cotton Salad #(16587880);$805.93;1/16/2021
Silk Car for Initech #(75231707);$462.00;6/17/2024
Cotton Computer for Acme #(23512710);$942.59;6/19/2021
Umbrella Handcrafted Silver Towels #(32400018);$417.09;9/13/2021
Practical Velvet Fish #(38017316);$631.92;6/11/2020
White Awesome Bike #(35232367);$546.29;7/21/2026
Dharma Ball 2025 Model #(34652759);$816.37;8/30/2024
Blue Generic Shoe #(93344977);$47.97;10/26/2022
Steel Computer for BlackMesa #(13753888);$727.77;5/26/2021
Gorgeous Leather Pizza #(84524638);$531.64;11/8/2026
Refined Leather Sausages #(32983162);$698.81;7/14/2023
Glass Pizza for Wonka #(98763681);$57.50;4/25/2020
Wonka Towels Manual #(60723568);$800.96;4/30/2026
Budget Frozen Computer #(58799661);$40.28;12/11/2023
Black Small Computer #(78371086);$869.24;10/27/2023
Umbrella Intelligent Orange Bike #(49750906);$780.37;4/10/2020
Wayne Tuna Portable #(43945978);$540.28;10/19/2020
Dharma Licensed Turquoise Table #(49404609);$635.96;3/28/2023
Wayne Intelligent Silver Shoe #(88934956);$442.91;5/24/2024
Wonka Rustic Magenta Shoe #(12479623);$62.01;5/18/2022
Gold Handcrafted Fish #(96846160);$32.36;3/25/2020
Budget Ceramic Computer #(51326697);$655.00;7/28/2021
Nook Small Yellow Cheese #(39744151);$947.63;1/7/2026
Silk Soap for Yoyodyne #(52061482);$900.05;6/18/2024
Wonka Refined Grey Soap #(77242318);$628.04;5/13/2025
BlackMesa Refined Silver Shoe #(50148309);$721.57;10/17/2022
Acme Shirt Vintage Edition #(71334582);$845.89;1/18/2024
Silk Chair for Globex #(50562868);$383.88;4/3/2021
Stark Intelligent Indigo Bacon #(47840564);$463.22;11/23/2024
BlackMesa Tasty Lime Pants #(41586240);$368.30;8/8/2023
Tyrell Bike Portable #(51666441);$670.57;5/8/2026
Hooli Chicken Vintage Edition #(97614174);$453.75;3/27/2025
BlackMesa Refined Black Cheese #(91775287);$933.54;6/2/2020
Vandelay Gloves with WiFi #(65824417);$776.00;3/22/2022
Tyrell Practical Teal Ball #(65292492);$129.35;10/23/2024
Soylent Hat 2025 Model #(87393661);$585.65;1/3/2026
Vandelay Chair Recycled #(79296910);$967.55;1/17/2026
Tyrell Hat Heavy Duty #(52122283);$277.81;6/14/2020
Blue Handcrafted Cheese #(37451255);$386.65;5/14/2026
Silver Refined Soap #(29076419);$169.86;6/11/2021
Luxury Copper Towels #(75271843);$952.25;2/24/2020
Bronze Practical Hat #(54505779);$183.88;4/23/2022
Vandelay Chair 2025 Model #(52076207);$983.88;6/30/2024
Wool Mouse for BlackMesa #(60071283);$238.15;8/15/2025
Violet Incredible Hat #(83286668);$370.22;6/11/2025
Grey Licensed Bacon #(47098343);$741.92;7/24/2021
White Sleek Tuna #(10804660);$364.24;10/2/2025
Silk Bacon for Acme #(22066645);$984.91;5/3/2024
Velvet Chair for Yoyodyne #(46489144);$421.49;10/6/2021
Linen Ball for Wayne #(79767719);$657.88;10/17/2021
Cyberdyne Bacon Manual #(90536163);$692.80;3/15/2024
Ergonomic Bronze Gloves #(85275825);$920.28;2/3/2022
Frozen Mouse for Dharma #(13813293);$968.15;12/17/2021
Luxury Concrete Pants #(17738133);$685.92;7/3/2025
Ceramic Hat for Tyrell #(47213135);$711.51;11/15/2022
Blue Handcrafted Hat #(27559347);$621.16;7/7/2026
Soylent Chips Compact #(97107446);$158.63;6/6/2021
Orange Small Soap #(58200236);$980.56;4/1/2026
Massive Large Grey Gloves #(29908214);$836.18;11/15/2023
Hooli Licensed Grey Shoe #(30820359);$540.18;8/13/2025
Soylent Chips Battery Powered #(89179958);$523.11;10/14/2021
Pink Budget Towels #(42788796);$806.25;2/28/2021
Indigo Awesome Keyboard #(81953343);$799.33;9/26/2023
Orange Durable Shoe #(20719690);$63.14;12/8/2020
Indigo Licensed Chips #(78868727);$99.08;2/3/2022
Stark Licensed Lime Sausages #(22308228);$541.86;11/19/2022
Globex Bike Manual #(31443500);$133.93;11/13/2021
Red Awesome Computer #(41214080);$669.69;1/5/2022
Copper Mouse for Soylent #(44580459);$834.83;2/27/2024
Generic Glass Chair #(35573345);$655.96;9/25/2025
Soylent Generic Turquoise Towels #(12577965);$755.17;6/14/2020
Velvet Bike for Umbrella #(56690624);$399.64;8/18/2022
Plastic Car for Umbrella #(72664358);$874.63;8/22/2025
Stark Handcrafted Green Chips #(56073165);$635.19;2/1/2021
Steel Shoe for Stark #(80335572);$113.26;12/1/2021
Vandelay Handcrafted Grey Soap #(26366525);$536.48;8/23/2024
Red Awesome Chips #(49480700);$222.27;6/12/2025
Acme Fantastic Gold Sausages #(49646418);$870.76;12/4/2023
Stark Bike Heavy Duty #(39789579);$369.15;7/18/2020
Fantastic Bronze Bacon #(11872195);$791.03;7/6/2026
Cyberdyne Chips Limited Edition #(34664815);$249.72;10/21/2021
Black Durable Mouse #(93450852);$770.05;6/2/2020
Soylent Bacon Lightweight #(81374343);$71.91;2/5/2025
Green Licensed Salad #(60442693);$651.37;1/7/2026
Green Fantastic Hat #(61130045);$872.54;9/12/2020
Linen Gloves for Yoyodyne #(50416457);$319.21;9/7/2025
Bronze Salad for Aperture #(78334753);$677.43;9/5/2025
Ceramic Salad for Nook #(28361265);$832.29;12/4/2023
Orange Budget Computer #(59303042);$479.50;8/18/2024
Practical Rubber Table #(61659749);$817.36;6/8/2025
BlackMesa Durable Gold Bacon #(84522461);$428.46;9/4/2022
Vandelay Large White Chicken #(34305454);$576.32;4/15/2023
Wooden Salad for Aperture #(10299112);$551.20;12/31/2025
Wayne Pizza Eco-friendly #(56406772);$88.86;9/19/2023
Globex Sausages Fireproof #(44816680);$470.85;5/27/2023
Yoyodyne Bike Manual #(68835099);$634.57;2/2/2021
Frozen Computer for Acme #(11141268);$443.00;4/5/2021
Orange Rustic Hat #(85613421);$239.69;7/1/2024
Luxury Linen Shoe #(45333219);$478.65;10/18/2020
White Durable Pizza #(35364175);$832.33;4/30/2024
Copper Bacon for Nook #(73701505);$714.05;8/12/2023
Soylent Pizza Waterproof #(66602830);$298.95;6/8/2023
Rustic Leather Shirt #(43363993);$620.66;5/26/2023
Unbranded Plastic Chips #(59646029);$306.09;9/22/2022
Gorgeous Frozen Computer #(66934319);$360.81;2/26/2022
Yoyodyne Table Fireproof #(27474409);$544.77;1/31/2024
Soylent Ergonomic Cyan Soap #(50293517);$473.64;2/3/2025
Ergonomic Soft Towels #(67352369);$400.37;5/21/2024
Stark Pants Battery Powered #(98234126);$920.00;8/21/2023
Dharma Pants 2025 Model #(29170218);$20.86;9/9/2023
Nook Refined Purple Car #(39906838);$709.48;6/3/2020
Licensed Concrete Salad #(22101288);$96.04;1/18/2022
Large Plastic Pants #(57588309);$107.34;2/12/2022
Luxury Silk Bike #(60475709);$50.76;4/7/2025
Licensed Velvet Computer #(62912948);$14.82;6/15/2021
Globex Ergonomic White Towels #(60879224);$711.85;6/17/2023
Wayne Small Yellow Cheese #(75135291);$427.42;4/29/2025
Blue Rustic Salad #(16483519);$268.67;5/15/2020
Tyrell Chips Fireproof #(60302804);$951.83;6/10/2021
BlackMesa Practical Red Pants #(24841214);$907.97;5/14/2025
Green Rustic Pants #(43148091);$282.99;1/18/2026
Pink Incredible Fish #(82777636);$984.24;11/21/2025
Cotton Shoe for Yoyodyne #(70947331);$383.06;8/25/2020
Green Awesome Soap #(14998452);$539.47;3/27/2023
Massive Chair Compact #(72642907);$612.37;5/17/2024
Metal Tuna for Yoyodyne #(61998407);$233.89;4/21/2022
Refined Soft Shirt #(78085128);$213.50;7/2/2022
Wayne Small Violet Keyboard #(45371285);$492.08;3/5/2024
Copper Bacon for Aperture #(62544181);$15.32;9/2/2021
Silk Mouse for MomCorp #(41711882);$325.23;8/11/2020
Lime Tasty Car #(15376281);$730.60;12/7/2025
Soft Cheese for Wonka #(57262118);$981.04;11/24/2021
Refined Metal Ball #(34619568);$442.57;11/1/2020
Soylent Cheese Compact #(16129847);$880.88;4/24/2025
Grey Intelligent Hat #(98533353);$992.63;3/8/2022
Massive Tuna Recycled #(98107996);$846.31;6/21/2026
Cyberdyne Large Green Chips #(70154978);$430.13;1/2/2026
Budget Cotton Computer #(17391344);$393.85;3/21/2024
Ergonomic Cotton Soap #(62333386);$732.59;11/25/2026
Globex Keyboard Heavy Duty #(68844230);$543.75;10/10/2026
Licensed Concrete Fish #(85928556);$342.89;11/17/2022
Frozen Hat for Wonka #(64572311);$975.11;8/4/2021
Weyland Hat Waterproof #(10355105);$657.35;12/20/2020
Weyland Shirt Battery Powered #(20935058);$855.31;10/10/2020
Concrete Fish for Tyrell #(60435148);$818.61;1/17/2026
Hooli Keyboard Compact #(95687740);$811.80;3/22/2021
Yellow Gorgeous Soap #(45709178);$810.60;6/8/2020
Concrete Mouse for Tyrell #(47325159);$904.91;3/31/2023
Small Frozen Chicken #(71698314);$582.55;11/20/2023
Cyberdyne Small Bronze Hat #(44328388);$718.74;11/7/2021
Ergonomic Frozen Soap #(76591339);$347.73;3/9/2021
Bronze Chair for Dharma #(41290068);$915.14;2/18/2025
Fresh Sausages for Nook #(37471564);$133.05;12/26/2020
Tasty Frozen Computer #(99554555);$247.82;8/27/2023
Metal Salad for Wayne #(57545127);$559.21;10/2/2026
Fantastic Cotton Chips #(13986769);$689.58;2/19/2023
Budget Copper Ball #(38532179);$663.95;4/18/2021
Tyrell Fantastic Magenta Shirt #(81852704);$436.21;3/31/2023
Glass Pizza for Yoyodyne #(14697749);$175.54;6/1/2021
Turquoise Small Shirt #(44529436);$931.33;9/6/2026
Massive Bike 2025 Model #(30714772);$80.75;5/23/2023
Generic Bronze Computer #(98302010);$892.44;9/16/2023
Nook Chair Battery Powered #(93586515);$663.10;1/28/2024
Wonka Chair Recycled #(57731834);$641.30;4/3/2022
Wooden Soap for Weyland #(69777046);$398.06;9/25/2022
Weyland Luxury Bronze Shirt #(66453303);$121.05;8/6/2021
BlackMesa Ergonomic Teal Cheese #(17037101);$798.79;6/3/2024
Frozen Sausages for Stark #(77179211);$878.78;11/10/2020
Nook Car Portable #(38804842);$169.68;5/14/2024
Budget Rubber Table #(11967595);$360.22;6/25/2024
Incredible Copper Cheese #(10859382);$519.81;10/5/2026
Wooden Tuna for Yoyodyne #(52711122);$571.06;1/28/2025
Yoyodyne Luxury Green Gloves #(81215413);$30.89;8/1/2022
Glass Chips for Yoyodyne #(74353367);$958.54;1/12/2026
Orange Generic Car #(82086799);$35.84;12/3/2026
Lime Unbranded Shoe #(84103921);$42.06;2/5/2026
Dharma Towels Heavy Duty #(91929705);$940.14;5/1/2021
Soylent Cheese Portable #(62564791);$199.33;11/30/2023
Rustic Metal Fish #(91088640);$936.87;1/23/2020
Orange Licensed Pants #(74415410);$253.54;8/28/2023
Copper Pizza for Globex #(30667996);$561.69;8/13/2020
Frozen Bacon for Aperture #(16394880);$981.66;10/29/2024
Steel Pizza for Stark #(17276391);$577.38;12/29/2023
Refined Silk Bacon #(13744936);$947.07;5/17/2026
Steel Computer for Cyberdyne #(53244625);$807.82;10/26/2021
Wool Pants for Wayne #(65494513);$277.48;12/1/2025
MomCorp Handcrafted Grey Chips #(55475942);$116.64;7/1/2020
Yellow Incredible Chair #(22938151);$394.91;9/21/2026
Violet Handcrafted Computer #(37528432);$31.56;12/12/2022
Concrete Table for BlackMesa #(96654654);$95.75;9/26/2023
Rustic Wooden Gloves #(33306101);$170.14;3/20/2024
Yellow Small Ball #(60472795);$812.41;9/22/2021
Cyberdyne Incredible Grey Towels #(65243467);$788.96;4/9/2022
Green Generic Bacon #(44569713);$290.15;3/5/2022
Initech Tasty Bronze Chips #(73145335);$887.73;3/5/2024
Concrete Hat for Globex #(64910333);$11.33;8/4/2024
Bronze Pizza for Tyrell #(97908418);$657.20;5/31/2020
Budget Rubber Salad #(55157059);$716.31;12/9/2021
Tyrell Fantastic Pink Computer #(76058635);$987.52;6/24/2023